97.75,98.25,100.75,99.25,0
98.25,99.75,101,96.75,0
99,99.75,101.25,99.75,0
96.25,101.25,100.5,97,0
99,100,100.5,98.25,0
98,102.5,101.25,97.75,0
100.25,100,99.5,99.25,0
97.5,100.5,101.75,97,0
101,100.75,100.75,98.75,0
96.5,99.75,100.75,95.5,0
101,101.5,98.75,98.5,0
97.25,100.5,99.25,97,0
98.75,100.5,99,98.75,0
97.5,101,101,98.25,0
97.25,100,99.5,100.5,0
95.5,99,101.5,98.25,0
95.25,100,99.25,99.25,0
92.75,99.25,101.75,96.75,0
95.75,100,100,99.75,0
93.75,99.25,101.5,98,0
95.5,100.25,99.5,100.25,0
93.75,99.5,100.5,97.75,0
96.25,100.5,98.25,98.25,0
93.75,99.75,100.25,98,0
95.5,100,99.5,98.5,0
93,99.75,101,98.25,0
95.5,100.75,97.75,99.75,0
92.75,99.75,101.5,98.75,0
95,99.75,99.5,97.25,0
92.5,100.25,100.5,97.75,0
96,100.5,102,114.25,0
93.5,99.5,99.75,97.25,0
95,100.25,100,98.75,0
94.75,100.25,101,97.75,0
94.25,117,100,98,0
92.75,100.75,101,99,0
94.75,101.25,100.5,98.5,0
95.97222222,100.6944444,100.3125,98.69444444,
