85,87.75,87.75,84.75,0
87.5,85.75,86,87.5,0
86.75,87.5,85.5,85.25,0
87.25,86.5,85.75,85.75,0
86.5,87.5,86.75,85.25,0
87,85.25,85.25,86.75,0
86,87.25,85.5,84.75,0
86.75,86.75,86.25,86,0
86.75,88,86.25,85,0
87.75,84.75,86.25,86,0
86.5,87,86.25,85.5,0
86.75,85.75,87,85.75,0
86.25,89,86.5,85.5,0
87,84.25,86,87.5,0
86.75,87.5,85.75,85,0
87,86.25,85.5,86.75,0
86.5,87,86.5,85.25,0
87.75,85.5,86.5,87,0
85.75,87.5,86,85,0
85.75,86,87.5,85.5,0
86.5,88.5,86.75,85,0
85.75,87,86.25,86,0
87,89.5,87,85.25,0
85,85.75,85.5,85.5,0
86.25,90.25,86.75,84.25,0
88,86.75,86.25,85.75,0
86.25,90.5,86.75,85.75,0
87.75,86.5,86.75,86.25,0
86.25,88.5,87.25,85.25,0
87.25,86.75,86,86.25,0
85,90.75,85.75,85.25,0
86,86.5,86,85,0
86,90.25,88,86.25,0
86.25,86.75,86.75,86.75,0
85.75,89,86,85.25,0
86.25,87.75,86.75,86.25,0
86,87.5,87.75,84.5,0
86.5,87.25,86.5,85.75,0
86,89,86.5,85.25,0
86.49305556,87.40277778,86.40972222,85.65972222,
