106.50,110.75,112.75,127.25,0
119.00,110.50,118.25,117.25,0
109.25,114.25,112.00,116.75,0
107.25,108.25,115.25,117.00,0
108.50,110.75,114.00,114.25,0
106.50,114.25,117.50,116.25,0
111.50,109.75,109.50,114.75,0
105.75,117.00,115.75,116.75,0
108.75,106.50,114.00,111.00,0
107.50,110.50,111.75,113.50,0
110.25,111.50,113.50,116.50,0
111.00,105.75,112.50,117.00,0
111.00,126.75,111.50,116.75,0
114.75,108.50,112.50,111.25,0
107.25,113.25,110.50,110.75,0
115.75,108.75,114.75,123.00,0
114.00,111.25,115.50,111.00,0
115.75,103.75,114.50,114.25,0
108.50,106.75,115.50,115.25,0
114.25,109.75,112.50,115.00,0
108.25,114.00,115.25,112.00,0
111.50,109.75,114.25,128.25,0
113.75,126.50,128.25,113.75,0
113.75,109.50,116.50,118.50,0
120.25,109.25,113.50,113.50,0
110.75,113.75,117.25,123.00,0
106.50,112.25,117.50,110.50,0
110.75,108.75,113.25,109.25,0
113.25,111.25,114.50,117.00,0
110.00,114.00,109.00,112.75,0
108.75,110.50,115.00,114.00,0
111.25,106.25,113.75,110.50,0
108.75,111.50,113.75,114.75,0
107.25,114.50,113.75,113.25,0
106.50,113.25,115.75,118.25,0
106.75,112.75,112.75,114.00,0
105.25,109.75,115.25,115.25,0
107.75,116.25,130.50,113.50,0
110.75,109.25,113.50,113.75,0
109.75,116.00,116.50,113.75,0
